timestamp,iv,close,volume,spot
2026-03-24 05:15:00,41.25035,19.0,26600,772.85
2026-03-24 05:30:00,40.479376,15.2,26600,775.7
2026-03-24 05:45:00,39.671848,15.0,66500,776.0
2026-03-24 06:00:00,40.707768,15.9,92400,777.0
2026-03-24 06:15:00,41.372908,17.4,71400,779.45
2026-03-24 06:30:00,40.832869,15.7,93800,776.55
2026-03-24 06:45:00,38.742645,19.15,259000,784.7
2026-03-24 07:00:00,36.468125,17.9,285600,793.8
2026-03-24 07:15:00,36.9766,18.75,128100,794.95
2026-03-24 07:30:00,36.086039,18.4,32200,795.0
2026-03-24 07:45:00,36.554027,13.8,39200,795.55
2026-03-24 08:00:00,37.593534,16.45,468300,800.0
2026-03-24 08:15:00,37.085452,15.5,73500,798.6
2026-03-24 08:30:00,37.380649,16.15,46200,799.65
2026-03-24 08:45:00,38.29128,15.95,52500,798.55
2026-03-24 09:00:00,36.115888,14.5,331100,797.5
2026-03-24 09:15:00,35.54765,15.5,61600,799.95
2026-03-24 09:30:00,35.787339,13.15,72800,795.05
2026-03-24 09:45:00,38.137779,15.55,151900,798.0
2026-03-25 03:45:00,34.645741,14.85,140700,811.0
2026-03-25 04:00:00,33.014826,12.1,186200,816.55
2026-03-25 04:15:00,32.641274,12.4,168700,817.5
2026-03-25 04:30:00,32.822601,14.15,87500,820.8
2026-03-25 04:45:00,32.862935,14.8,96600,822.0
2026-03-25 05:00:00,33.156183,11.7,133700,825.35
2026-03-25 05:15:00,32.766752,14.2,287000,830.7
2026-03-25 05:30:00,35.178043,15.8,166600,831.9
2026-03-25 05:45:00,33.65619,14.45,52500,830.55
2026-03-25 06:00:00,35.718917,17.2,100800,824.4
2026-03-25 06:15:00,37.666285,18.15,91700,824.75
2026-03-25 06:30:00,36.771084,13.8,44100,826.9
2026-03-25 06:45:00,40.908733,18.55,18200,823.25
2026-03-25 07:00:00,37.676107,17.4,14000,823.5
2026-03-25 07:15:00,37.269269,15.7,9800,820.7
2026-03-25 07:30:00,38.870542,16.85,13300,821.7
2026-03-25 07:45:00,36.070018,16.5,36400,823.1
2026-03-25 08:00:00,37.456208,16.1,112700,821.4
2026-03-25 08:15:00,38.616231,17.55,141400,823.25
2026-03-25 08:30:00,38.633099,16.8,16100,821.9
2026-03-25 08:45:00,35.162764,15.1,37100,821.3
2026-03-25 09:00:00,35.882032,15.1,10500,820.8
2026-03-25 09:15:00,33.278383,12.45,39900,817.65
2026-03-25 09:30:00,32.004818,11.5,65800,816.75
2026-03-25 09:45:00,30.067394,12.65,67900,820.55
2026-03-27 03:45:00,37.778633,14.3,76300,803.95
2026-03-27 04:00:00,33.346478,11.2,148400,800.85
2026-03-27 04:15:00,29.642829,10.25,66500,801.25
2026-03-27 04:30:00,32.585768,9.75,61600,798.55
2026-03-27 04:45:00,34.684876,11.75,42000,801.2
2026-03-27 05:00:00,37.61555,11.8,78400,799.6
2026-03-27 05:15:00,38.747842,11.7,95900,798.75
2026-03-27 05:30:00,38.730504,10.05,48300,795.35
2026-03-27 05:45:00,36.592934,11.75,51100,790.5
2026-03-27 06:00:00,37.092826,12.55,19600,791.75
2026-03-27 06:15:00,35.597712,13.6,28000,794.45
2026-03-27 06:30:00,37.099117,9.8,93800,796.05
2026-03-27 06:45:00,36.018967,10.75,46900,798.75
2026-03-27 07:00:00,35.245887,10.9,39900,799.55
2026-03-27 07:15:00,36.791186,10.75,38500,798.35
2026-03-27 07:30:00,35.979263,11.95,30100,801.2
2026-03-27 07:45:00,35.76488,10.7,47600,798.95
2026-03-27 08:00:00,38.493805,10.65,12600,797.2
2026-03-27 08:15:00,34.882078,12.5,12600,793.15
2026-03-27 08:30:00,35.072089,11.6,8400,791.45
2026-03-27 08:45:00,34.479189,10.9,17500,790.5
2026-03-27 09:00:00,36.06833,9.8,42700,787.4
2026-03-27 09:15:00,35.591013,10.45,56700,789.05
2026-03-27 09:30:00,27.780025,10.65,36400,793.7
2026-03-27 09:45:00,38.466398,11.75,47600,790.0
2026-03-30 04:00:00,66.216101,6.65,49000,768.6
2026-03-30 04:15:00,49.078727,4.55,114800,768.25
2026-03-30 04:30:00,36.498456,3.8,43400,769.65
2026-03-30 04:45:00,55.425322,4.65,30800,767.25
2026-03-30 05:00:00,58.748582,4.5,23800,766.25
2026-03-30 05:15:00,61.826028,7.95,4900,762.9
2026-03-30 05:30:00,44.370676,5.0,3500,760.9
2026-03-30 05:45:00,34.123565,2.55,6300,758.05
2026-03-30 06:00:00,35.038844,2.45,42000,757.7
2026-03-30 06:15:00,29.617255,2.6,2100,759.35
2026-03-30 06:30:00,38.471257,3.55,37800,759.65
2026-03-30 06:45:00,27.430118,2.0,12600,758.65
2026-03-30 07:00:00,23.916964,2.95,5600,761.25
2026-03-30 07:15:00,32.638712,3.0,2800,759.95
2026-03-30 07:30:00,29.242903,3.35,8400,761.25
2026-03-30 07:45:00,23.230707,1.85,2100,759.5
2026-03-30 08:00:00,39.561433,3.0,1400,759.0
2026-03-30 08:15:00,23.076317,1.5,12600,758.9
